Unified ID	Original IDs	Category	Current status	Evidence class	Evidence source	Exact affected path/screen	Reproduction state/action	User/data/financial impact	Classification	Dependency	Focused recheck needed	Owner decision needed	Notes
F1	F1 (Flash §19); FI-001; FI2-08; مرتبط EQ-120/EQ-167	financial-display	CONFIRMED	VERIFIED (متصفح + كود + مصدران مستقلان)	Flash F1 CONFIRMED_CONTENT CRITICAL؛ التقرير الشامل §8 F1 + INTERACTION-REPRODUCTION-MATRIX (s3-04/s3-04b)؛ تحقق هذه المرحلة: Statement.tsx:591-593	/finance/statement (سطر المعادلة) + /finance?view=period (جملة الصيغة)	مستنسخ متصفحًا (بيع 12.75/تكلفة 5.50/مصروف 2.50: تُعرض 12.75−0.00−2.50 مقابل نتيجة 4.75) + كود: المعادلة تعرض recognizedRevenueTotalMinor و effectiveDirectCostMinor و recordedOperatingExpenseMinor فقط	عرض فقط — لا أثر على البيانات؛ المالك لا يستطيع تدقيق نتيجته من الشرح؛ الرقم المخزن صحيح	FIX_NOW	لا شيء (سطر TSX واحد + اختياريًا جملة الفترة)	لا	لا (للحد الأدنى: إضافة operand تكلفة البيع المباشر)؛ نعم (إن أُضيفت بنود المجموعة 4 عند nonzero)	تكلفة البيع المباشر 5.50 مطروحة فعليًا في الصيغة الكنسية (projectFinancialService.ts:811-822) لكنها غائبة من سطر العرض؛ عرض الفترة يسرد التكلفة صفًّا لكن جملته تُغفلها
F2	F2 (Flash §19); FI-002; FI2-09	financial-display	CONFIRMED	VERIFIED (متصفح + كود + اختبارات الخدمة)	Flash F2 CONFIRMED_CONTENT HIGH؛ التقرير الشامل §8 F2؛ تحقق هذه المرحلة: Statement.tsx:219 + periodComparisonService.ts:361 (delta=B−A) واختباراته 183-209	/finance/statement (كتلة المقارنة «قارن مع الفترة السابقة»)	مستنسخ متصفحًا («الفرق -4.75» لتحسن +4.75) + كود: الصفحة تمرر (current,previous) فيُعرض previous−current بينما اختبارات الخدمة تعتمد اصطلاح النمو (+ = تحسن)	عرض فقط — القيم المخزنة والرياضيات صحيحة؛ غياب تسمية الاتجاه يضلل عن صحة الفترة	FIX_NOW	لا شيء	لا	نعم (شكل الإصلاح: عكس ترتيب الوسيطين أو إضافة تسمية اتجاه «تحسّن/تراجع»)	مقارنة سطرية: كل الصفوف تعرض الفرق بالاتجاه المعكوس (revenue row الفرق -12.75)
F3	F3 (Flash §19); FI-003; FI2-05; FI4-017	ux-wording	CONFIRMED	VERIFIED (متصفح + كود)	Flash F3 CONFIRMED_CONTENT HIGH P0؛ التقرير الشامل §8 F3؛ تحقق هذه المرحلة: QuickActionSheet.tsx:208 + QuickExpenseForm.tsx:127-130,242 + expenseFormModel.ts:27	الورقة السريعة للمصروف (Home → «سجّل مصروفًا»)	مستنسخ متصفحًا (ترويسة «مبلغ وبند اختياري» مقابل «البند مطلوب» وحجب الحفظ) + كود	لا شيء (التحقق نفسه صحيح؛ صفر كتابات عند الفشل)؛ تآكل ثقة على أعلى ورقة تكرارًا	FIX_NOW	لا شيء	لا	لا	سلسلة نصية واحدة؛ الحد الأدنى: «المبلغ والبند مطلوبان — التصنيف والتاريخ اختياريان»
F4-A	F4 (Flash — الجزء الأول ضمنيًا)؛ FI-025; FI2-06; FI4-016,030	financial-write-safety	CONFIRMED (سلوك سليم)	VERIFIED (متصفح: تعداد تخزين قبل/بعد)	التقرير الشامل §8 F4 + FI-025 + INTERACTION-REPRODUCTION-MATRIX (F4-A)؛ إعادة تحقق كود هذه المرحلة عبر سلسلة الحراسات L612-655 → خدمة → نطاق → مخزن	كل المحررات المالية (/direct-sales/new وغيرها)	مستنسخ متصفحًا: إرسال غير صالح → خطأ حاجب + فرق تعداد صفري؛ إرسال صالح → إيصال صادق «الضغط مرتين لا يضاعف أثرًا»	لا شيء — مسار الكتابة آمن؛ الضغط المزدوج 53.8ms → سجل واحد	PRESERVE	لا شيء	لا	لا	تعريف F4 لدى التقرير الشامل كان سؤال سلامة بيانات؛ الجواب: لا كتابة عند فشل التحقق — يُحفظ
F4-B	F4 (Flash — الشريط الأخضر)؛ لا معرف FI (غير مسجل في السجل الشامل)؛ مرتبط FI-003 (نفس الورقة)	ux-display-separation	CONFIRMED	VERIFIED (مرئي متصفح + كود)	Flash F4 CONFIRMED_VISUAL HIGH P0؛ تحقق هذه المرحلة: QuickExpenseForm.tsx:317-335 + index.css:1085-1094	الورقة السريعة للمصروف — شريط المعاينة «سينقص الكاش … — المصروف مسجل…»	مرئي (Flash: الشريط الأخضر يظهر مع رسالة الخطأ الوردية) + كود: شرط المعاينة (سطر 318) يعتمد على صلاحية المبلغ فقط ولا يُغلق عند formError	انطباع نجاح زائف أثناء حجب الحفظ؛ عرض فقط — لا كتابة	FIX_NOW	يُنفذ مع F3 (نفس الورقة)	لا	لا	الإصلاح الأدنى: إخفاء المعاينة عند وجود formError أو إعادة صياغتها حيادية؛ لا يمس منطق الحفظ
F5	F5 (Flash §19)؛ FI-040 (كان التعريف مفقودًا لدى التقرير الشامل)	platform-localization	CONFIRMED	VERIFIED (مرئي + كود)	Flash F5 CONFIRMED_VISUAL MEDIUM؛ تحقق هذه المرحلة: LocalDateField.tsx:31,34 (type=date مع lang=en قسريًا؛ 32 ملفًا) + type=date خام في FinancePoliciesSection.tsx:256,260,302,310 و QuickSaleForm.tsx:245 و AgreementContextPanel.tsx:167	كل النماذج الحاملة لتاريخ (بيع/مصروف/عدة صندوق)	مرئي (منتقي أصلي إنجليزي 09/25/2026 و«Show date picker») + كود	تسرب لغة نظام على منتج عربي؛ خطر سوء قراءة تاريخ مالي محتمل	DEFER	مكون إدخال تاريخ معرّب (تنفيذ جديد)؛ اختبار جهاز عربي حقيقي لاحقًا (DEVICE-001)	لا (تحقق كافٍ)	جزئي (نهج التعريب: منتقي مخصص أم صيغة رقمية موحدة)	يتطلب عمل تصميم/تنفيذ أكبر من سطر — يُرحل إلى موجة U بقرار نهج
F6	F6 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)	platform-localization	CONFIRMED	VERIFIED (مرئي + آلية كود)	Flash F6 CONFIRMED_VISUAL MEDIUM؛ تحقق هذه المرحلة: EnglishNumberInput.tsx:44,58-60 (type=text + pattern) داخل <form> → فقاعة تحقق أصلية إنجليزية قبل onSubmit؛ والخطأ العربي البديل في Setup.tsx:287-289,404-408	/setup خطوة 3 — حقل الرصيد الافتتاحي (قيمة سالبة)	مرئي (Flash: «Please match the requested format.») + كود: الخاصية pattern مع إرسال النموذج الأصلي يفسر المشاهدة	لا شيء (الحماية تعمل — السالب مرفوض)؛ لغة أجنبية في لحظة خطأ	DEFER	يُدمج مع F5 (عائلة تعريب اللحظات الأصلية)	لا	لا	آلية مؤكدة بالكود رغم أن الفحص الأولي لم يجد reportValidity — الفقاعة تنبع من pattern+form الأصليين
F7	F7 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)	numeric-voice	CONFIRMED	VERIFIED (مرئي + كود)	Flash F7 CONFIRMED_VISUAL LOW؛ تحقق هذه المرحلة: shortCashHorizon.ts:30-34 (SHORT_CASH_HORIZON_LABELS_AR: «٧ أيام/٣٠ يومًا/٩٠ يومًا») + Finance.tsx:578,1388	/finance — بطاقة قرار الكاش (الآفاق)	مرئي + كود: أرقام هندية للآفاق مقابل لاتينية لكل المبالغ	ازدواج نظام أرقام؛ لا أثر مالي	DEFER	قرار لسان/سياسة أرقام موحدة	لا	نعم (قرار لسان: توحيد الأرقام أو سياسة مزدوجة معلنة)	Flash س7 المرتبط
F8	F8 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)	information-architecture	CLOSED_BY_EVIDENCE	VERIFIED (إحصاء كود)	Flash F8 CONFIRMED_CONTENT MEDIUM (تصادم تسمية بطاقة/تبويب)؛ تحقق هذه المرحلة: Finance.tsx:494-497 — «ملخص الفترة» اسم تبويب فقط؛ لا بطاقة بهذا الاسم داخل «الوضع الآن» (بطاقاته: قبض ودين ونتائج، الكاش المسجل، النتيجة المتاحة، مال المالك…)؛ الأرجح التباس مع «افتح ملخص الفترة» (homeControlCenterService.ts:593) أو خلايا ReviewPulse	/finance	إحصاء مصدر كامل لأقسام الصفحة عند الالتزام المدقق (source == c02fb458)	لا عيب مؤكد في الكود؛ خطر الإدراك قائم إن تعددت مداخل التسمية	PRESERVE (مع ملاحظة إدراكية)	لا شيء	لا	اختياري (إن أراد المالك إعادة تسمية فذوقه)	ملفات جلسة Flash (j0*.txt) غير مرفقة بالحزمة فلا يمكن إعادة فحص مشاهدته مباشرة؛ الإغلاق يستند لإحصاء المصدر + عدم رصد التصادم في جولة المتصفح الشاملة
F9	F9 (Flash §19)؛ FI-040 (التعريف كان مفقودًا)	information-architecture	CONFIRMED	VERIFIED (مرئي + كود)	Flash F9 CONFIRMED_VISUAL MEDIUM + سؤال مالك 2؛ تحقق هذه المرحلة: Finance.tsx:501-507 — ReviewPulseSection (أربع خلايا خلاصة الطلبات) تُركب أولًا قبل بطاقات موضع المال 511-572	/finance — أول شاشة	مرئي + كود: ترتيب الأقسام مؤكد؛ سؤال المالك الأول (وين كاشي؟) تحت الطية	تأخر جواب السؤال المالي الأول؛ لا أثر مالي	OWNER_DECISION_REQUIRED	قرار المالك (ماذا يتصدر: موضع المال أم خلاصة الطلبات)	لا	نعم (صريح)	إعادة الترتيب عرض فقط لكنها قرار تصميم منتج للمالك
