ID,Title,Type,Status,Classification,Gate classification,Priority,Stage,Owner,Layers,Tests required,Dependencies,Owner decision,Next action,Blocked/Deferred reason,Source,Updated
DEVICE-001,QA على أجهزة فعلية وWebKit وPWA,QUALITY,BLOCKED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-7,Product owner / Manus coordination,device; accessibility; pwa,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,UX-001; REL-001,توفير الأجهزة والبيئة الفعلية.,"أغلق سبب الحجب قبل بدء العمل؛ الاعتماديات الحالية: UX-001, REL-001.","الاعتماديات أو البيئة المطلوبة لم تكتمل: UX-001, REL-001",reports/agent-report/2026-09-18_wave-4-4-system-quality-final-qa/report.md,2026-09-19
LEGAL-001,مراجعة أردنية مالية وقانونية,RESEARCH,BLOCKED,RELEASE_GATE,NOT_APPLICABLE,P1,stage-8,Product owner / Manus coordination,legal; product-scope,Source/report comparison | Explicit unknowns and limits | Owner decision or pilot evidence,FIN-007,اختيار مختص ونطاق المراجعة.,أغلق سبب الحجب قبل بدء العمل؛ الاعتماديات الحالية: FIN-007.,الاعتماديات أو البيئة المطلوبة لم تكتمل: FIN-007,docs/operations/control/README.md,2026-09-19
PILOT-001,قرار بدء Pilot,RELEASE,BLOCKED,RELEASE_GATE,RELEASE_GATE,P1,stage-10,Product owner / Manus coordination,release; pilot,End-to-end acceptance scenarios | Independent review evidence | Owner release decision,CTRL-001; CTRL-002; G-001; G-002; G-003; G-004; G-005; G-006; OPS-001; OPS-002; OPS-003; OPS-004; OPS-005; OPS-006; OPS-007; OPS-008; OPS-009; FIN-001; FIN-002; FIN-003; FIN-004; FIN-005; FIN-006; FIN-007; FIN-008; CLEAN-001; UX-001; REL-001; DEVICE-001; LEGAL-001; UAT-001; AUDIT-001; HARD-009; HARD-010; HARD-011,قرار إطلاق Pilot بعد VERIFIED لكل required_items ومراجعة الحزمة النهائية.,لا يصبح Ready ولا يبدأ قبل VERIFIED لكل required_items في PRE-PILOT، ثم قرار المالك؛ لا يبدأ تلقائيًا بنجاح CI.,المراحل 0–9 وبوابات المنتج والجهاز والقانون وUAT والتدقيق لم تثبت كلها VERIFIED على main.,docs/operations/control/README.md,2026-09-19
FIN-003,مقارنة الفترات وجسر الربح إلى الكاش,FEATURE,CLAIMED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,FIN-001,,تنفيذ الموجة 1 على فرع WS-173 من main المتحقق بعد إغلاق Phase 0: عائلة القوالب (أسبوع/شهر/ربع/مخصص دون إجبار)، مقارنة فترتين من القارئ الكنوني، اختصار الفترة السابقة المساوية، وسم الفترة الجارية الجزئي، وجسر الربح إلى الكاش بمصادر قابلة للتتبع — قراءة فقط دون تغيير المخطط/التصدير (36/28).,,docs/operations/control/README.md,2026-09-22
FIN-007,مراجعة فترة مرنة,FEATURE,CLAIMED,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,FIN-003,,تنفيذ الموجة 1 على فرع WS-173 من main المتحقق بعد إغلاق Phase 0: عائلة القوالب (أسبوع/شهر/ربع/مخصص دون إجبار)، مقارنة فترتين من القارئ الكنوني، اختصار الفترة السابقة المساوية، وسم الفترة الجارية الجزئي، وجسر الربح إلى الكاش بمصادر قابلة للتتبع — قراءة فقط دون تغيير المخطط/التصدير (36/28).,,docs/operations/control/README.md,2026-09-22
FIN-001,تسجيل اقتراض داخل المشروع,FEATURE,READY,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001,اعتماد سياسة القرض المأخوذ: الكاش والالتزام والمحفظة والسداد وفصل الأصل عن الرسوم/الفوائد.,تحقق من الاعتماديات (CTRL-001) ثم أنشئ Workstream claim قبل التنفيذ.,,docs/operations/control/README.md,2026-09-19
FIN-004,حد السحب الآمن للمالك,FEATURE,READY,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,FIN-003; FIN-005,,"تحقق من الاعتماديات (FIN-003, FIN-005) ثم أنشئ Workstream claim قبل التنفيذ.",,docs/operations/control/README.md,2026-09-19
FIN-005,توقع الكاش والتصريحات المتوقعة,FEATURE,READY,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,OPS-001,,تحقق من الاعتماديات (OPS-001) ثم أنشئ Workstream claim قبل التنفيذ.,,docs/operations/control/README.md,2026-09-19
REL-001,اختبارات الصمود والفشل,QUALITY,READY,FIX_BEFORE_PILOT,NOT_APPLICABLE,P1,stage-6,Product owner / Manus coordination,storage; transfer; resilience,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,CLEAN-001,,تحقق من الاعتماديات (CLEAN-001) ثم أنشئ Workstream claim قبل التنفيذ.,,docs/operations/control/README.md,2026-09-19
CLEAN-001,تنظيف الأسطح الجزئية والميتة,QUALITY,READY,FIX_BEFORE_PILOT,NOT_APPLICABLE,P2,stage-4,Product owner / Manus coordination,cross-layer; presentation,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,FIN-007; OPS-004,,"تحقق من الاعتماديات (FIN-007, OPS-004) ثم أنشئ Workstream claim قبل التنفيذ.",,docs/operations/control/README.md,2026-09-19
AUDIT-001,تدقيق مستقل نهائي قبل الـPilot,QUALITY,BACKLOG,RELEASE_GATE,NOT_APPLICABLE,P1,stage-9,Product owner / Manus coordination,uat; audit; cross-layer,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,UAT-001,,حوّل البند إلى READY بعد تحقق الاعتماديات (UAT-001) ومعيار القبول.,,docs/operations/control/README.md,2026-09-19
UAT-001,قبول داخلي ببيانات Demo كاملة,QUALITY,BACKLOG,RELEASE_GATE,NOT_APPLICABLE,P1,stage-9,Product owner / Manus coordination,uat; audit; cross-layer,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,DEVICE-001; LEGAL-001,,"حوّل البند إلى READY بعد تحقق الاعتماديات (DEVICE-001, LEGAL-001) ومعيار القبول.",,docs/operations/control/README.md,2026-09-19
GOV-001,مصالحة G10-A مع تعارض عقد C1,DECISION,REVIEW_REQUIRED,GOVERNANCE,NOT_APPLICABLE,P1,governance,Product owner / Manus coordination,governance; contracts,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,,هل يوحّد G10-A عقد C1 أم يبقى مؤجلًا؟,يُراجع التعارض مع المالك ثم يثبت القرار كعقد أو تأجيل؛ لا يبدأ تنفيذًا صامتًا.,,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
SCOPE-001,بوابة POS وCRM وWhatsApp والمزامنة وAuth والصلاحيات وCloud,DECISION,DEFERRED,FUTURE_SCOPE,OUT_OF_SCOPE,P1,future-scope,Product owner / Manus coordination,future-scope,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,,تحديد بوابة مستقلة لكل توسع مستقبلًا.,لا تبدأ؛ أعد الفتح فقط بعد دليل، عقد، وقرار مالك مستقل خارج نطاق Pilot الحالي.,OUT_OF_SCOPE؛ لا يدخل PRE-PILOT ولا يتحول إلى Feature قبل نطاق وعقد وقرار مستقل.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
UX-001,إعادة تصميم UI وUX جذرية,FEATURE,DEFERRED,FIX_BEFORE_PILOT,DEPENDENCY_GATE_REQUIRED_BEFORE_PILOT,P1,stage-5,Product owner / Manus coordination,ui/ux; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CLEAN-001,اعتماد الاتجاه البصري النهائي ونتائج Benchmark قبل التنفيذ.,"Z1/Z2 bounded waves merged and verified on main (WS-172, merge SHA f5685b2138d994cb0ebed95f2b64bbc6f87cc49d). UX-001 itself stays DEFERRED: the full radical redesign acceptance (complete RTL design system, every screen purposeful, user testing) remains open — decide direction/benchmark for the remaining scope before the next UI/UX claim.",تنفيذ مؤجل حتى استقرار الوظائف واعتماد الاتجاه وBenchmark، لكنه متطلب Gate قبل Pilot؛ لا يتجاوز بوابة الإصدار.,reports/agent-report/2026-09-17_wave-4-1-product-ux-blueprint/report.md,2026-09-22
BE-001,مصاريف متكررة محلية,FEATURE,DEFERRED,HISTORICAL,DUPLICATE_HISTORICAL,P2,build-after-evidence,Product owner / Manus coordination,future-capability,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,,,"لا تنشئ Claim مستقلًا؛ تابع ('DUPLICATE_HISTORICAL', 'OPS-003') بوصفه المالك الحي للقدرة، وأبقِ هذا السجل مرجعًا تاريخيًا.",DUPLICATE_HISTORICAL؛ محفوظ للتتبع ولا يتجاوز البوابة ولا يفتح تنفيذًا موازيًا.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
BE-002,ميزانيات وأهداف بسيطة,FEATURE,DEFERRED,HISTORICAL,DUPLICATE_HISTORICAL,P2,build-after-evidence,Product owner / Manus coordination,future-capability,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,,,"لا تنشئ Claim مستقلًا؛ تابع ('DUPLICATE_HISTORICAL', 'FIN-002') بوصفه المالك الحي للقدرة، وأبقِ هذا السجل مرجعًا تاريخيًا.",DUPLICATE_HISTORICAL؛ محفوظ للتتبع ولا يتجاوز البوابة ولا يفتح تنفيذًا موازيًا.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
BE-003,ربحية المنتج عبر الفترات بمعرف كتالوج ثابت,FEATURE,DEFERRED,HISTORICAL,DUPLICATE_HISTORICAL,P2,build-after-evidence,Product owner / Manus coordination,future-capability,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,,,"لا تنشئ Claim مستقلًا؛ تابع ('DUPLICATE_HISTORICAL', 'FIN-006') بوصفه المالك الحي للقدرة، وأبقِ هذا السجل مرجعًا تاريخيًا.",DUPLICATE_HISTORICAL؛ محفوظ للتتبع ولا يتجاوز البوابة ولا يفتح تنفيذًا موازيًا.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
BE-004,إغلاق فترة رسمي,FEATURE,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,build-after-evidence,Product owner / Manus coordination,future-capability,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ لا يبدأ قبل دليل Pilot وقرار مالك، ولا يمثل متطلبًا مستقلًا قبل Pilot.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
BE-005,تقادم الديون بشرائح 30/60/90,FEATURE,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,build-after-evidence,Product owner / Manus coordination,future-capability,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ لا يبدأ قبل دليل Pilot وقرار مالك، ولا يمثل متطلبًا مستقلًا قبل Pilot.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
FIN-002,ميزانيات وأهداف بسيطة,FEATURE,DEFERRED,FIX_BEFORE_PILOT,DEPENDENCY_GATE_REQUIRED_BEFORE_PILOT,P2,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,CTRL-001,,أكمل الاعتماديات، ثم افتح Claim لتنفيذ أبسط ميزانية/هدف مع اختبارات عدم خلط الخطة بالحدث المالي.,تنفيذ مؤجل حتى اعتماد/إكمال الاعتماديات، لكنه متطلب Gate قبل Pilot؛ الميزانيات والأهداف المبسطة مطلوبة ضمن المرحلة 3.,docs/operations/control/README.md,2026-09-19
FIN-006,ربحية المنتج بمعرف كتالوج ثابت,FEATURE,DEFERRED,FIX_BEFORE_PILOT,DEPENDENCY_GATE_REQUIRED_BEFORE_PILOT,P2,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,Domain/Service tests | DOM/Integration tests where UI is involved | Export/import or migration evidence where persistence changes | Merge and verification evidence on main,OPS-004,,أكمل الاعتماديات، ثم افتح Claim لتنفيذ ربحية بمعرف كتالوج ثابت واختبارات Snapshot/الفترات.,تنفيذ مؤجل حتى اعتماد/إكمال الاعتماديات، لكنه متطلب Gate قبل Pilot؛ ربحية المنتجات/الخدمات بمعرف ثابت مطلوبة ضمن المرحلة 3.,docs/operations/control/README.md,2026-09-19
FIN-008,تحقق الإهلاك بعد مرور الزمن,QUALITY,DEFERRED,FIX_BEFORE_PILOT,DEPENDENCY_GATE_REQUIRED_BEFORE_PILOT,P2,stage-3,Product owner / Manus coordination,Layer 3; domain; application; presentation,اختبار Domain/Service مع Clock قابل للحقن يثبت تاريخ الاستحقاق قبل/بعد نقطة زمنية اصطناعية | اختبار idempotency يمنع تسجيل الإهلاك نفسه مرتين عند إعادة تشغيل الساعة/الفعل | اختبار DOM يثبت أن الإهلاك غير النقدي لا يخصم من الكاش ويعرض الحالة الصادقة | اختبار export/import يحافظ على أصل الإهلاك وتاريخه إن دخلت البيانات الدائمة | دليل CI وMerge SHA وverified_on_main_sha قبل VERIFIED,,تحديد نافذة اختبار الإهلاك أو آلية ساعة اختبار معتمدة قبل فتح Claim.,صمّم/نفّذ اختبارًا باستخدام Clock قابل للحقن مع وقتين اصطناعيين على الأقل، ثم افتح Claim؛ لا تستخدم انتظارًا زمنيًا حقيقيًا.,تنفيذ مؤجل حتى اعتماد/إكمال الاعتماديات، لكنه متطلب Gate قبل Pilot؛ اختبار الإهلاك يستخدم Clock قابلًا للحقن ولا ينتظر شهرًا حقيقيًا.,docs/operations/control/README.md,2026-09-19
SCOPE-002,الموارد وقدرة المواد والتوسع التشغيلي,RESEARCH,DEFERRED,FUTURE_SCOPE,OUT_OF_SCOPE,P2,future-scope,Product owner / Manus coordination,future-scope,Source/report comparison | Explicit unknowns and limits | Owner decision or pilot evidence,,,لا تبدأ؛ أعد الفتح فقط بعد دليل، عقد، وقرار مالك مستقل خارج نطاق Pilot الحالي.,OUT_OF_SCOPE؛ لا يدخل PRE-PILOT ولا يتحول إلى Feature قبل نطاق وعقد وقرار مستقل.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
UX-002,Backlog الموجة الرابعة في عقد الملكية,QUALITY,DEFERRED,FUTURE_SCOPE,OUT_OF_SCOPE,P2,post-pilot-gate,Product owner / Manus coordination,post-pilot,Focused automated tests | Failure/recovery path where applicable | Evidence on main or explicit device limitation,,,لا تبدأ؛ أعد الفتح فقط بعد دليل، عقد، وقرار مالك مستقل خارج نطاق Pilot الحالي.,OUT_OF_SCOPE؛ لا يدخل PRE-PILOT ولا يتحول إلى Feature قبل نطاق وعقد وقرار مستقل.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-001,V-01 — التقاط تواريخ استحقاق المشتريات,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-002,V-02 — متوقعات الكاش القصيرة,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-003,V-03 — أجندة القادم المجمعة بالتاريخ,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-004,V-04 — عرض التغطية عند قرار السحب,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-005,V-05 — مقارنة فترتين بسيطة,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-006,V-06 — جسر ربح إلى كاش رقمي,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-007,V-07 — تنبيه انخفاض المواد,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-008,V-08 — مصروف اليوم على الرئيسية,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-009,V-09 — رقم السحب الآمن الموحد,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-010,V-10 — كثافة صفحة المالية,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-011,V-11 — فهم نموذج التوزيع الصريح للكاش,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
V-012,V-12 — تسجيل الإهلاك بعد شهر استخدام,RESEARCH,DEFERRED,PILOT_VALIDATION,PILOT_EVIDENCE_REQUIRED,P2,pilot-validation,Product owner / Manus coordination,pilot-validation,Pilot observation protocol | Evidence log with denominator and outcome | Owner decision before any Feature claim,,,أضف السؤال إلى بروتوكول Pilot، ثم سجّل النتيجة والقرار قبل فتح أي تنفيذ.,PILOT_EVIDENCE_REQUIRED؛ فرضية تحقق أثناء Pilot وليست Feature قبل دليل وقرار.,https://github.com/Qays7753/Documents/tree/main/reports/2026/2026-09-19/layered-financial-management-audit-001,2026-09-19
